id,HomeTeam,AwayTeam,Unnamed: 0,HTP,ATP,HM1_D,HM1_L,HM1_M,HM1_W,HM2_D,HM2_L,HM2_M,HM2_W,HM3_D,HM3_L,HM3_M,HM3_W,AM1_D,AM1_L,AM1_M,AM1_W,AM2_D,AM2_L,AM2_M,AM2_W,AM3_D,AM3_L,AM3_M,AM3_W,HTGD,ATGD,DiffFormPts
0,Charlton,Man City,0,-2.280523057,-2.345017326,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.013971657,-0.020983199,0
1,Chelsea,West Ham,1,-2.280523057,-2.345017326,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.013971657,-0.020983199,0
2,Coventry,Middlesbrough,2,-2.280523057,-2.345017326,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.013971657,-0.020983199,0
3,Derby,Southampton,3,-2.280523057,-2.345017326,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.013971657,-0.020983199,0
4,Leeds,Everton,4,-2.280523057,-2.345017326,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.013971657,-0.020983199,0
5,Leicester,Aston Villa,5,-2.280523057,-2.345017326,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.013971657,-0.020983199,0
6,Liverpool,Bradford,6,-2.280523057,-2.345017326,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.013971657,-0.020983199,0
7,Sunderland,Arsenal,7,-2.280523057,-2.345017326,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.013971657,-0.020983199,0
8,Tottenham,Ipswich,8,-2.280523057,-2.345017326,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.013971657,-0.020983199,0
9,Man United,Newcastle,9,-2.280523057,-2.345017326,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.013971657,-0.020983199,0
10,Arsenal,Liverpool,10,-2.280523057,0.522293545,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,-0.706965142,0.700635604,-1.5
11,Bradford,Chelsea,11,-2.280523057,0.522293545,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,-0.706965142,1.422254408,-1.5
12,Ipswich,Man United,12,-2.280523057,0.522293545,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,-1.427901941,1.422254408,-1.5
13,Middlesbrough,Tottenham,13,0.548877838,0.522293545,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1.455845254,1.422254408,0
14,Everton,Charlton,14,-2.280523057,0.522293545,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,-1.427901941,2.865492015,-1.5
15,Man City,Sunderland,15,-2.280523057,0.522293545,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,-2.869775538,0.700635604,-1.5
16,Newcastle,Derby,16,-2.280523057,-1.389247036,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,-1.427901941,-0.020983199,-0.5
17,Southampton,Coventry,17,-1.337389425,-2.345017326,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0.013971657,-1.464220806,0.5
18,West Ham,Leicester,18,-2.280523057,-1.389247036,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,-1.427901941,-0.020983199,-0.5
19,Arsenal,Charlton,19,-2.280523057,0.522293545,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,-0.706965142,2.865492015,-1.5
20,Bradford,Leicester,20,-0.394255794,0.203703447,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0.494596189,0.460096003,-0.333333333
21,Everton,Derby,21,-0.394255794,-1.707837133,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0.494596189,-0.502062401,0.666666667
22,Ipswich,Sunderland,22,-1.651767303,-0.433476746,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,-0.947277409,-0.502062401,-0.666666667
23,Man City,Coventry,23,-0.394255794,-0.433476746,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,-0.947277409,-0.502062401,0
24,Middlesbrough,Leeds,24,0.23449996,1.478063835,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0.975220722,1.422254408,-0.666666667
25,Newcastle,Tottenham,25,-0.394255794,0.203703447,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,-0.466652875,0.941175206,-0.333333333
26,Southampton,Liverpool,26,-1.651767303,-0.433476746,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,-0.466652875,-0.502062401,-0.666666667
